index,host,source,sourcetype,"_raw","_time"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:DFS Replication","WinEventLog:DFS-Replication","12/29/2014 03:50:21 PM
LogName=DFS Replication
SourceName=DFSR
EventCode=1002
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=None
OpCode=None
RecordNumber=1
Keywords=Classic
Message=The DFS Replication service is starting.","2014-12-29T15:50:21.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:DFS Replication","WinEventLog:DFS-Replication","12/29/2014 03:50:21 PM
LogName=DFS Replication
SourceName=DFSR
EventCode=1004
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=None
OpCode=None
RecordNumber=2
Keywords=Classic
Message=The DFS Replication service has started.","2014-12-29T15:50:21.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:DFS Replication","WinEventLog:DFS-Replication","12/29/2014 03:50:22 PM
LogName=DFS Replication
SourceName=DFSR
EventCode=1314
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=None
OpCode=None
RecordNumber=3
Keywords=Classic
Message=The DFS Replication service successfully configured the debug log files. 
 
Additional Information: 
Debug Log File Path: C:\Windows\debug","2014-12-29T15:50:22.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:DFS Replication","WinEventLog:DFS-Replication","12/29/2014 03:50:24 PM
LogName=DFS Replication
SourceName=DFSR
EventCode=6102
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=None
OpCode=None
RecordNumber=4
Keywords=Classic
Message=The DFS Replication service has successfully registered the WMI provider.","2014-12-29T15:50:24.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:DFS Replication","WinEventLog:DFS-Replication","12/29/2014 03:50:25 PM
LogName=DFS Replication
SourceName=DFSR
EventCode=1202
EventType=2
Type=Error
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=None
OpCode=None
RecordNumber=5
Keywords=Classic
Message=The DFS Replication service failed to contact domain controller  to access configuration information. Replication is stopped. The service will try again during the next configuration polling cycle, which will occur in 60 minutes. This event can be caused by TCP/IP connectivity, firewall, Active Directory Domain Services, or DNS issues. 
 
Additional Information: 
Error: 1355 (The specified domain either does not exist or could not be contacted.)","2014-12-29T15:50:25.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:DFS Replication","WinEventLog:DFS-Replication","12/29/2014 03:52:51 PM
LogName=DFS Replication
SourceName=DFSR
EventCode=1006
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=None
OpCode=None
RecordNumber=6
Keywords=Classic
Message=The DFS Replication service is stopping.","2014-12-29T15:52:51.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:DFS Replication","WinEventLog:DFS-Replication","12/29/2014 03:52:51 PM
LogName=DFS Replication
SourceName=DFSR
EventCode=1008
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=None
OpCode=None
RecordNumber=7
Keywords=Classic
Message=The DFS Replication service has stopped.","2014-12-29T15:52:51.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:DFS Replication","WinEventLog:DFS-Replication","12/29/2014 03:53:56 PM
LogName=DFS Replication
SourceName=DFSR
EventCode=1002
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD.spl.com
TaskCategory=None
OpCode=None
RecordNumber=8
Keywords=Classic
Message=The DFS Replication service is starting.","2014-12-29T15:53:56.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:DFS Replication","WinEventLog:DFS-Replication","12/29/2014 03:53:56 PM
LogName=DFS Replication
SourceName=DFSR
EventCode=1004
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD.spl.com
TaskCategory=None
OpCode=None
RecordNumber=9
Keywords=Classic
Message=The DFS Replication service has started.","2014-12-29T15:53:56.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:DFS Replication","WinEventLog:DFS-Replication","12/29/2014 03:53:57 PM
LogName=DFS Replication
SourceName=DFSR
EventCode=1314
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD.spl.com
TaskCategory=None
OpCode=None
RecordNumber=10
Keywords=Classic
Message=The DFS Replication service successfully configured the debug log files. 
 
Additional Information: 
Debug Log File Path: C:\Windows\debug","2014-12-29T15:53:57.000-0800"
