index,host,source,sourcetype,"_raw","_time"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:Directory Service","WinEventLog:Directory-Service","12/29/2014 03:52:43 PM
LogName=Directory Service
SourceName=NTDS ISAM
EventCode=102
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=Knowledge Consistency Checker
OpCode=Info
RecordNumber=1
Keywords=Classic
Message=NTDS (592) NTDSA: The database engine (6.03.9600.0000) is starting a new instance (0).","2014-12-29T15:52:43.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:Directory Service","WinEventLog:Directory-Service","12/29/2014 03:52:43 PM
LogName=Directory Service
SourceName=Microsoft-Windows-ActiveDirectory_DomainService
EventCode=1539
EventType=3
Type=Warning
ComputerName=WIN-6LR3JNJ6LVD
User=NOT_TRANSLATED
Sid=S-1-5-7
SidType=0
TaskCategory=Service Control
OpCode=None
RecordNumber=2
Keywords=Classic
Message=Active Directory Domain Services could not disable the software-based disk write cache on the following hard disk. 
 
Hard disk:
c: 
 
Data might be lost during system failures.","2014-12-29T15:52:43.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:Directory Service","WinEventLog:Directory-Service","12/29/2014 03:52:43 PM
LogName=Directory Service
SourceName=NTDS ISAM
EventCode=105
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=Knowledge Consistency Checker
OpCode=Info
RecordNumber=3
Keywords=Classic
Message=NTDS (592) NTDSA: The database engine started a new instance (0). (Time=0 seconds) 
 
Internal Timing Sequence: [1] 0.000, [2] 0.000, [3] 0.000, [4] 0.000, [5] 0.000, [6] 0.000, [7] 0.032, [8] 0.000, [9] 0.000, [10] 0.000.","2014-12-29T15:52:43.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:Directory Service","WinEventLog:Directory-Service","12/29/2014 03:52:43 PM
LogName=Directory Service
SourceName=NTDS ISAM
EventCode=326
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=Knowledge Consistency Checker
OpCode=Info
RecordNumber=4
Keywords=Classic
Message=NTDS (592) NTDSA: The database engine attached a database (1, C:\Windows\NTDS\ntds.dit). (Time=0 seconds) 
 
Internal Timing Sequence: [1] 0.000, [2] 0.000, [3] 0.000, [4] 0.000, [5] 0.000, [6] 0.000, [7] 0.000, [8] 0.000, [9] 0.000, [10] 0.000, [11] 0.000, [12] 0.000. 
Saved Cache: 1 0","2014-12-29T15:52:43.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:Directory Service","WinEventLog:Directory-Service","12/29/2014 03:52:43 PM
LogName=Directory Service
SourceName=Microsoft-Windows-ActiveDirectory_DomainService
EventCode=2041
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=Internal Processing
OpCode=None
RecordNumber=5
Keywords=Classic
Message=Duplicate event log entries were suppressed. 
 
See the previous event log entry for details. An entry is considered a duplicate if the event code and all of its insertion parameters are identical. The time period for this run of duplicates is from the time of the previous event to the time of this event. 
 
Event Code:
80000603 
Number of duplicate entries: 
2","2014-12-29T15:52:43.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:Directory Service","WinEventLog:Directory-Service","12/29/2014 03:52:43 PM
LogName=Directory Service
SourceName=Microsoft-Windows-ActiveDirectory_DomainService
EventCode=2120
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
User=NOT_TRANSLATED
Sid=S-1-5-7
SidType=0
TaskCategory=Internal Configuration
OpCode=None
RecordNumber=6
Keywords=Classic
Message=This Active Directory Domain Services server does not support the Recycle Bin. Deleted objects may be undeleted, however, when an object is undeleted, some attributes of that object may be lost.  Additionally, attributes of other objects that refer to the object being undeleted may also be lost.","2014-12-29T15:52:43.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:Directory Service","WinEventLog:Directory-Service","12/29/2014 03:52:43 PM
LogName=Directory Service
SourceName=Microsoft-Windows-ActiveDirectory_DomainService
EventCode=2405
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
User=NOT_TRANSLATED
Sid=S-1-5-7
SidType=0
TaskCategory=Internal Configuration
OpCode=None
RecordNumber=7
Keywords=Classic
Message=This Active Directory Domain Services server does not support the ""Recycle Bin Feature"" optional feature.","2014-12-29T15:52:43.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:Directory Service","WinEventLog:Directory-Service","12/29/2014 03:52:50 PM
LogName=Directory Service
SourceName=NTDS ISAM
EventCode=700
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=Performance
OpCode=Info
RecordNumber=8
Keywords=Classic
Message=NTDS (592) NTDSA: Online defragmentation is beginning a full pass on database 'C:\Windows\NTDS\ntds.dit'.","2014-12-29T15:52:50.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:Directory Service","WinEventLog:Directory-Service","12/29/2014 03:52:50 PM
LogName=Directory Service
SourceName=NTDS ISAM
EventCode=701
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
TaskCategory=Performance
OpCode=Info
RecordNumber=9
Keywords=Classic
Message=NTDS (592) NTDSA: Online defragmentation has completed a full pass on database 'C:\Windows\NTDS\ntds.dit', freeing 4 pages. This pass started on 12/29/2014 and ran for a total of 0 seconds, requiring 1 invocations over 1 days. Since the database was created it has been fully defragmented 1 times.","2014-12-29T15:52:50.000-0800"
wineventlog,"WIN-6LR3JNJ6LVD","WinEventLog:Directory Service","WinEventLog:Directory-Service","12/29/2014 03:52:50 PM
LogName=Directory Service
SourceName=Microsoft-Windows-ActiveDirectory_DomainService
EventCode=1898
EventType=4
Type=Information
ComputerName=WIN-6LR3JNJ6LVD
User=NOT_TRANSLATED
Sid=S-1-5-7
SidType=0
TaskCategory=DS Schema
OpCode=None
RecordNumber=11
Keywords=Classic
Message=Internal event: The following schema object was modified. 
 
Schema object: 
CN=domain-dns,CN=Schema,CN=Configuration,DC=spl,DC=com","2014-12-29T15:52:50.000-0800"
