index,host,source,sourcetype,"_raw","_time"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:NTDS","Perfmon:NTDS","01/06/2015 08:43:05.895 -0800
collection=NTDS
object=NTDS
counter=""SAM Enumerations/sec""
instance=0
Value=0.29967345482647922","2015-01-06T08:43:05.895-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:NTDS","Perfmon:NTDS","01/07/2015 16:42:35.898 -0800
collection=NTDS
object=NTDS
counter=""LDAP Writes/sec""
instance=0
Value=0.099989717057497818","2015-01-07T16:42:35.898-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:NTDS","Perfmon:NTDS","01/08/2015 04:42:55.902 -0800
collection=NTDS
object=NTDS
counter=""Tombstones Visited/sec""
instance=0
Value=0.19993737361646211","2015-01-08T04:42:55.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:NTDS","Perfmon:NTDS","01/08/2015 04:57:55.911 -0800
collection=NTDS
object=NTDS
counter=""Link Values Cleaned/sec""
instance=0
Value=0.099840647338003227","2015-01-08T04:57:55.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:NTDS","Perfmon:NTDS","01/08/2015 06:06:35.911 -0800
collection=NTDS
object=NTDS
counter=""ATQ Request Latency""
instance=0
Value=1","2015-01-08T06:06:35.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:NTDS","Perfmon:NTDS","01/08/2015 07:54:25.909 -0800
collection=NTDS
object=NTDS
counter=""SAM Universal Group Membership Evaluations/sec""
instance=0
Value=0.79868269270079395","2015-01-08T07:54:25.909-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:NTDS","Perfmon:NTDS","01/08/2015 07:54:25.909 -0800
collection=NTDS
object=NTDS
counter=""SAM Global Group Membership Evaluations/sec""
instance=0
Value=0.39934134635039698","2015-01-08T07:54:25.909-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:NTDS","Perfmon:NTDS","01/08/2015 10:17:45.896 -0800
collection=NTDS
object=NTDS
counter=""DS Server Name Translations/sec""
instance=0
Value=0.10001909164421305","2015-01-08T10:17:45.896-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:NTDS","Perfmon:NTDS","01/08/2015 11:35:05.904 -0800
collection=NTDS
object=NTDS
counter=""DS Threads in Use""
instance=0
Value=1","2015-01-08T11:35:05.904-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:NTDS","Perfmon:NTDS","01/08/2015 11:35:05.904 -0800
collection=NTDS
object=NTDS
counter=""LDAP Active Threads""
instance=0
Value=1","2015-01-08T11:35:05.904-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:NTDS","Perfmon:NTDS","01/08/2015 11:35:05.904 -0800
collection=NTDS
object=NTDS
counter=""ATQ Threads LDAP""
instance=0
Value=1","2015-01-08T11:35:05.904-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:NTDS","Perfmon:NTDS","01/08/2015 11:43:05.897 -0800
collection=NTDS
object=NTDS
counter=""LDAP Bind Time""
instance=0
Value=16","2015-01-08T11:43:05.897-0800"
