index,host,source,sourcetype,"_raw","_time"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:35.900 -0800
collection=Network_Interface
object=""Network Interface""
counter=""Packets Outbound Errors""
instance=""Teredo Tunneling Pseudo-Interface""
Value=1","2015-01-08T08:57:35.900-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:35.900 -0800
collection=Network_Interface
object=""Network Interface""
counter=""Current Bandwidth""
instance=isatap.sv.splunk.com
Value=100000","2015-01-08T08:57:35.900-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:45.902 -0800
collection=Network_Interface
object=""Network Interface""
counter=""Bytes Total/sec""
instance=""Microsoft Hyper-V Network Adapter""
Value=1529.8530970086738","2015-01-08T08:57:45.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:45.902 -0800
collection=Network_Interface
object=""Network Interface""
counter=Packets/sec
instance=""Microsoft Hyper-V Network Adapter""
Value=5.0991770438168977","2015-01-08T08:57:45.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:45.902 -0800
collection=Network_Interface
object=""Network Interface""
counter=""Packets Received/sec""
instance=""Microsoft Hyper-V Network Adapter""
Value=5.0991770438168977","2015-01-08T08:57:45.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:45.902 -0800
collection=Network_Interface
object=""Network Interface""
counter=""Current Bandwidth""
instance=""Microsoft Hyper-V Network Adapter""
Value=10000000000","2015-01-08T08:57:45.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:45.902 -0800
collection=Network_Interface
object=""Network Interface""
counter=""Bytes Received/sec""
instance=""Microsoft Hyper-V Network Adapter""
Value=1529.8530970086738","2015-01-08T08:57:45.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:45.902 -0800
collection=Network_Interface
object=""Network Interface""
counter=""Packets Received Non-Unicast/sec""
instance=""Microsoft Hyper-V Network Adapter""
Value=5.0991770438168977","2015-01-08T08:57:45.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:45.902 -0800
collection=Network_Interface
object=""Network Interface""
counter=""Current Bandwidth""
instance=""Teredo Tunneling Pseudo-Interface""
Value=100000","2015-01-08T08:57:45.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:45.902 -0800
collection=Network_Interface
object=""Network Interface""
counter=""Packets Outbound Errors""
instance=""Teredo Tunneling Pseudo-Interface""
Value=1","2015-01-08T08:57:45.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:45.902 -0800
collection=Network_Interface
object=""Network Interface""
counter=""Current Bandwidth""
instance=isatap.sv.splunk.com
Value=100000","2015-01-08T08:57:45.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:55.900 -0800
collection=Network_Interface
object=""Network Interface""
counter=""Bytes Total/sec""
instance=""Microsoft Hyper-V Network Adapter""
Value=2872.6871895740651","2015-01-08T08:57:55.900-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:55.900 -0800
collection=Network_Interface
object=""Network Interface""
counter=Packets/sec
instance=""Microsoft Hyper-V Network Adapter""
Value=9.6996190959581003","2015-01-08T08:57:55.900-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Network_Interface","Perfmon:Network_Interface","01/08/2015 08:57:55.900 -0800
collection=Network_Interface
object=""Network Interface""
counter=""Packets Received/sec""
instance=""Microsoft Hyper-V Network Adapter""
Value=9.6996190959581003","2015-01-08T08:57:55.900-0800"
