index,host,source,sourcetype,"_raw","_time"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Processor","Perfmon:Processor","01/06/2015 16:07:45.911 -0800
collection=Processor
object=Processor
counter=""% Idle Time""
instance=0
Value=67.621733062522324","2015-01-06T16:07:45.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Processor","Perfmon:Processor","01/06/2015 16:07:45.911 -0800
collection=Processor
object=Processor
counter=""% C1 Time""
instance=0
Value=13.80635534591949","2015-01-06T16:07:45.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Processor","Perfmon:Processor","01/06/2015 16:07:45.911 -0800
collection=Processor
object=Processor
counter=""% C2 Time""
instance=0
Value=53.815377716602839","2015-01-06T16:07:45.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Processor","Perfmon:Processor","01/06/2015 16:07:45.911 -0800
collection=Processor
object=Processor
counter=""C1 Transitions/sec""
instance=0
Value=52.971034378980889","2015-01-06T16:07:45.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Processor","Perfmon:Processor","01/06/2015 16:07:45.911 -0800
collection=Processor
object=Processor
counter=""C2 Transitions/sec""
instance=0
Value=222.87812578325921","2015-01-06T16:07:45.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Processor","Perfmon:Processor","01/06/2015 16:07:45.911 -0800
collection=Processor
object=Processor
counter=""% Processor Time""
instance=1
Value=29.278552056381123","2015-01-06T16:07:45.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Processor","Perfmon:Processor","01/06/2015 16:07:45.911 -0800
collection=Processor
object=Processor
counter=""% User Time""
instance=1
Value=28.413473566751957","2015-01-06T16:07:45.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Processor","Perfmon:Processor","01/06/2015 16:07:45.911 -0800
collection=Processor
object=Processor
counter=""% Privileged Time""
instance=1
Value=0.93670791978303147","2015-01-06T16:07:45.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Processor","Perfmon:Processor","01/06/2015 16:07:45.911 -0800
collection=Processor
object=Processor
counter=Interrupts/sec
instance=1
Value=421.76936807414972","2015-01-06T16:07:45.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Processor","Perfmon:Processor","01/06/2015 16:07:45.911 -0800
collection=Processor
object=Processor
counter=""DPCs Queued/sec""
instance=1
Value=2.3986883492368705","2015-01-06T16:07:45.911-0800"
