index,host,source,sourcetype,_raw,_time
msad,WIN-6LR3JNJ6LVD,ActiveDirectory,ActiveDirectory,"12/29/2014 16:55:55.145
dcName=LDAP://WIN-6LR3JNJ6LVD.spl.com/
admonEventType=schema
className=pKIEnrollmentService
classCN=PKI-Enrollment-Service
instanceType=MandatoryProperties
nTSecurityDescriptor=MandatoryProperties
objectCategory=MandatoryProperties
objectClass=MandatoryProperties
instanceType=OptionalProperties
nTSecurityDescriptor=OptionalProperties
objectCategory=OptionalProperties
objectClass=OptionalProperties
adminDescription=OptionalProperties
adminDisplayName=OptionalProperties
allowedAttributes=OptionalProperties
allowedAttributesEffective=OptionalProperties
allowedChildClasses=OptionalProperties
allowedChildClassesEffective=OptionalProperties
bridgeheadServerListBL=OptionalProperties
cACertificate=OptionalProperties
cACertificateDN=OptionalProperties
canonicalName=OptionalProperties
certificateTemplates=OptionalProperties
cn=OptionalProperties
createTimeStamp=OptionalProperties
description=OptionalProperties
directReports=OptionalProperties
displayName=OptionalProperties
displayNamePrintable=OptionalProperties
distinguishedName=OptionalProperties
dNSHostName=OptionalProperties
dSASignature=OptionalProperties
dSCorePropagationData=OptionalProperties
enrollmentProviders=OptionalProperties
extensionName=OptionalProperties
flags=OptionalProperties
fromEntry=OptionalProperties
frsComputerReferenceBL=OptionalProperties
fRSMemberReferenceBL=OptionalProperties
fSMORoleOwner=OptionalProperties
isCriticalSystemObject=OptionalProperties
isDeleted=OptionalProperties
isPrivilegeHolder=OptionalProperties
isRecycled=OptionalProperties
lastKnownParent=OptionalProperties
managedObjects=OptionalProperties
masteredBy=OptionalProperties
memberOf=OptionalProperties
modifyTimeStamp=OptionalProperties
mS-DS-ConsistencyChildCount=OptionalProperties
mS-DS-ConsistencyGuid=OptionalProperties
msCOM-PartitionSetLink=OptionalProperties
msCOM-UserLink=OptionalProperties
msDFSR-ComputerReferenceBL=OptionalProperties
msDFSR-MemberReferenceBL=OptionalProperties
msDS-Approx-Immed-Subordinates=OptionalProperties
msDS-AuthenticatedToAccountlist=OptionalProperties
msDS-ClaimSharesPossibleValuesWithBL=OptionalProperties
msDS-EnabledFeatureBL=OptionalProperties
msDS-HostServiceAccountBL=OptionalProperties
msDS-IsDomainFor=OptionalProperties
msDS-IsFullReplicaFor=OptionalProperties
msDS-IsPartialReplicaFor=OptionalProperties
msDS-IsPrimaryComputerFor=OptionalProperties
msDS-KrbTgtLinkBl=OptionalProperties
msDS-LastKnownRDN=OptionalProperties
msDS-LocalEffectiveDeletionTime=OptionalProperties
msDS-LocalEffectiveRecycleTime=OptionalProperties
msDs-masteredBy=OptionalProperties
msds-memberOfTransitive=OptionalProperties
msDS-MembersForAzRoleBL=OptionalProperties
msDS-MembersOfResourcePropertyListBL=OptionalProperties
msds-memberTransitive=OptionalProperties
msDS-NC-RO-Replica-Locations-BL=OptionalProperties
msDS-NCReplCursors=OptionalProperties
msDS-NCReplInboundNeighbors=OptionalProperties
msDS-NCReplOutboundNeighbors=OptionalProperties
msDS-NcType=OptionalProperties
msDS-NonMembersBL=OptionalProperties
msDS-ObjectReferenceBL=OptionalProperties
msDS-OIDToGroupLinkBl=OptionalProperties
msDS-OperationsForAzRoleBL=OptionalProperties
msDS-OperationsForAzTaskBL=OptionalProperties
msDS-parentdistname=OptionalProperties
msDS-PrincipalName=OptionalProperties
msDS-PSOApplied=OptionalProperties
msDS-ReplAttributeMetaData=OptionalProperties
msDS-ReplValueMetaData=OptionalProperties
msDS-ReplValueMetaDataExt=OptionalProperties
msDS-RevealedDSAs=OptionalProperties
msDS-RevealedListBL=OptionalProperties
msDS-TasksForAzRoleBL=OptionalProperties
msDS-TasksForAzTaskBL=OptionalProperties
msDS-TDOEgressBL=OptionalProperties
msDS-TDOIngressBL=OptionalProperties
msDS-ValueTypeReferenceBL=OptionalProperties
msPKI-Enrollment-Servers=OptionalProperties
msPKI-Site-Name=OptionalProperties
msSFU30PosixMemberOf=OptionalProperties
name=OptionalProperties
netbootSCPBL=OptionalProperties
nonSecurityMemberBL=OptionalProperties
objectGUID=OptionalProperties
objectVersion=OptionalProperties
otherWellKnownObjects=OptionalProperties
ownerBL=OptionalProperties
partialAttributeDeletionList=OptionalProperties
partialAttributeSet=OptionalProperties
possibleInferiors=OptionalProperties
proxiedObjectName=OptionalProperties
proxyAddresses=OptionalProperties
queryPolicyBL=OptionalProperties
replPropertyMetaData=OptionalProperties
replUpToDateVector=OptionalProperties
repsFrom=OptionalProperties
repsTo=OptionalProperties
revision=OptionalProperties
sDRightsEffective=OptionalProperties
serverReferenceBL=OptionalProperties
showInAdvancedViewOnly=OptionalProperties
signatureAlgorithms=OptionalProperties
siteObjectBL=OptionalProperties
structuralObjectClass=OptionalProperties
subRefs=OptionalProperties
subSchemaSubEntry=OptionalProperties
systemFlags=OptionalProperties
url=OptionalProperties
uSNChanged=OptionalProperties
uSNCreated=OptionalProperties
uSNDSALastObjRemoved=OptionalProperties
USNIntersite=OptionalProperties
uSNLastObjRem=OptionalProperties
uSNSource=OptionalProperties
wbemPath=OptionalProperties
wellKnownObjects=OptionalProperties
whenChanged=OptionalProperties
whenCreated=OptionalProperties
wWWHomePage=OptionalProperties",2014-12-29T16:55:55.145-0800
msad,WIN-6LR3JNJ6LVD,ActiveDirectory,ActiveDirectory,"12/29/2014 16:55:55.145
dcName=LDAP://WIN-6LR3JNJ6LVD.spl.com/
admonEventType=schema
className=msPKI-PrivateKeyRecoveryAgent
classCN=ms-PKI-Private-Key-Recovery-Agent
instanceType=MandatoryProperties
nTSecurityDescriptor=MandatoryProperties
objectCategory=MandatoryProperties
objectClass=MandatoryProperties
userCertificate=MandatoryProperties
instanceType=OptionalProperties
nTSecurityDescriptor=OptionalProperties
objectCategory=OptionalProperties
objectClass=OptionalProperties
userCertificate=OptionalProperties
adminDescription=OptionalProperties
adminDisplayName=OptionalProperties
allowedAttributes=OptionalProperties
allowedAttributesEffective=OptionalProperties
allowedChildClasses=OptionalProperties
allowedChildClassesEffective=OptionalProperties
bridgeheadServerListBL=OptionalProperties
canonicalName=OptionalProperties
cn=OptionalProperties
createTimeStamp=OptionalProperties
description=OptionalProperties
directReports=OptionalProperties
displayName=OptionalProperties
displayNamePrintable=OptionalProperties
distinguishedName=OptionalProperties
dSASignature=OptionalProperties
dSCorePropagationData=OptionalProperties
extensionName=OptionalProperties
flags=OptionalProperties
fromEntry=OptionalProperties
frsComputerReferenceBL=OptionalProperties
fRSMemberReferenceBL=OptionalProperties
fSMORoleOwner=OptionalProperties
isCriticalSystemObject=OptionalProperties
isDeleted=OptionalProperties
isPrivilegeHolder=OptionalProperties
isRecycled=OptionalProperties
lastKnownParent=OptionalProperties
managedObjects=OptionalProperties
masteredBy=OptionalProperties
memberOf=OptionalProperties
modifyTimeStamp=OptionalProperties
mS-DS-ConsistencyChildCount=OptionalProperties
mS-DS-ConsistencyGuid=OptionalProperties
msCOM-PartitionSetLink=OptionalProperties
msCOM-UserLink=OptionalProperties
msDFSR-ComputerReferenceBL=OptionalProperties
msDFSR-MemberReferenceBL=OptionalProperties
msDS-Approx-Immed-Subordinates=OptionalProperties
msDS-AuthenticatedToAccountlist=OptionalProperties
msDS-ClaimSharesPossibleValuesWithBL=OptionalProperties
msDS-EnabledFeatureBL=OptionalProperties
msDS-HostServiceAccountBL=OptionalProperties
msDS-IsDomainFor=OptionalProperties
msDS-IsFullReplicaFor=OptionalProperties
msDS-IsPartialReplicaFor=OptionalProperties
msDS-IsPrimaryComputerFor=OptionalProperties
msDS-KrbTgtLinkBl=OptionalProperties
msDS-LastKnownRDN=OptionalProperties
msDS-LocalEffectiveDeletionTime=OptionalProperties
msDS-LocalEffectiveRecycleTime=OptionalProperties
msDs-masteredBy=OptionalProperties
msds-memberOfTransitive=OptionalProperties
msDS-MembersForAzRoleBL=OptionalProperties
msDS-MembersOfResourcePropertyListBL=OptionalProperties
msds-memberTransitive=OptionalProperties
msDS-NC-RO-Replica-Locations-BL=OptionalProperties
msDS-NCReplCursors=OptionalProperties
msDS-NCReplInboundNeighbors=OptionalProperties
msDS-NCReplOutboundNeighbors=OptionalProperties
msDS-NcType=OptionalProperties
msDS-NonMembersBL=OptionalProperties
msDS-ObjectReferenceBL=OptionalProperties
msDS-OIDToGroupLinkBl=OptionalProperties
msDS-OperationsForAzRoleBL=OptionalProperties
msDS-OperationsForAzTaskBL=OptionalProperties
msDS-parentdistname=OptionalProperties
msDS-PrincipalName=OptionalProperties
msDS-PSOApplied=OptionalProperties
msDS-ReplAttributeMetaData=OptionalProperties
msDS-ReplValueMetaData=OptionalProperties
msDS-ReplValueMetaDataExt=OptionalProperties
msDS-RevealedDSAs=OptionalProperties
msDS-RevealedListBL=OptionalProperties
msDS-TasksForAzRoleBL=OptionalProperties
msDS-TasksForAzTaskBL=OptionalProperties
msDS-TDOEgressBL=OptionalProperties
msDS-TDOIngressBL=OptionalProperties
msDS-ValueTypeReferenceBL=OptionalProperties
msSFU30PosixMemberOf=OptionalProperties
name=OptionalProperties
netbootSCPBL=OptionalProperties
nonSecurityMemberBL=OptionalProperties
objectGUID=OptionalProperties
objectVersion=OptionalProperties
otherWellKnownObjects=OptionalProperties
ownerBL=OptionalProperties
partialAttributeDeletionList=OptionalProperties
partialAttributeSet=OptionalProperties
possibleInferiors=OptionalProperties
proxiedObjectName=OptionalProperties
proxyAddresses=OptionalProperties
queryPolicyBL=OptionalProperties
replPropertyMetaData=OptionalProperties
replUpToDateVector=OptionalProperties
repsFrom=OptionalProperties
repsTo=OptionalProperties
revision=OptionalProperties
sDRightsEffective=OptionalProperties
serverReferenceBL=OptionalProperties
showInAdvancedViewOnly=OptionalProperties
siteObjectBL=OptionalProperties
structuralObjectClass=OptionalProperties
subRefs=OptionalProperties
subSchemaSubEntry=OptionalProperties
systemFlags=OptionalProperties
url=OptionalProperties
uSNChanged=OptionalProperties
uSNCreated=OptionalProperties
uSNDSALastObjRemoved=OptionalProperties
USNIntersite=OptionalProperties
uSNLastObjRem=OptionalProperties
uSNSource=OptionalProperties
wbemPath=OptionalProperties
wellKnownObjects=OptionalProperties
whenChanged=OptionalProperties
whenCreated=OptionalProperties
wWWHomePage=OptionalProperties",2014-12-29T16:55:55.145-0800
msad,WIN-6LR3JNJ6LVD,ActiveDirectory,ActiveDirectory,"12/29/2014 16:55:55.145
dcName=LDAP://WIN-6LR3JNJ6LVD.spl.com/
admonEventType=schema
className=printQueue
classCN=Print-Queue
cn=MandatoryProperties
instanceType=MandatoryProperties
nTSecurityDescriptor=MandatoryProperties
objectCategory=MandatoryProperties
objectClass=MandatoryProperties
printerName=MandatoryProperties
serverName=MandatoryProperties
shortServerName=MandatoryProperties
uNCName=MandatoryProperties
versionNumber=MandatoryProperties
cn=OptionalProperties
instanceType=OptionalProperties
nTSecurityDescriptor=OptionalProperties
objectCategory=OptionalProperties
objectClass=OptionalProperties
printerName=OptionalProperties
serverName=OptionalProperties
shortServerName=OptionalProperties
uNCName=OptionalProperties
versionNumber=OptionalProperties
adminDescription=OptionalProperties
adminDisplayName=OptionalProperties
allowedAttributes=OptionalProperties
allowedAttributesEffective=OptionalProperties
allowedChildClasses=OptionalProperties
allowedChildClassesEffective=OptionalProperties
assetNumber=OptionalProperties
bridgeheadServerListBL=OptionalProperties
bytesPerMinute=OptionalProperties
canonicalName=OptionalProperties
createTimeStamp=OptionalProperties
defaultPriority=OptionalProperties
description=OptionalProperties
directReports=OptionalProperties
displayName=OptionalProperties
displayNamePrintable=OptionalProperties
distinguishedName=OptionalProperties
driverName=OptionalProperties
driverVersion=OptionalProperties
dSASignature=OptionalProperties
dSCorePropagationData=OptionalProperties
extensionName=OptionalProperties
flags=OptionalProperties
fromEntry=OptionalProperties
frsComputerReferenceBL=OptionalProperties
fRSMemberReferenceBL=OptionalProperties
fSMORoleOwner=OptionalProperties
isCriticalSystemObject=OptionalProperties
isDeleted=OptionalProperties
isPrivilegeHolder=OptionalProperties
isRecycled=OptionalProperties
keywords=OptionalProperties
lastKnownParent=OptionalProperties
location=OptionalProperties
managedBy=OptionalProperties
managedObjects=OptionalProperties
masteredBy=OptionalProperties
memberOf=OptionalProperties
modifyTimeStamp=OptionalProperties
mS-DS-ConsistencyChildCount=OptionalProperties
mS-DS-ConsistencyGuid=OptionalProperties
msCOM-PartitionSetLink=OptionalProperties
msCOM-UserLink=OptionalProperties
msDFSR-ComputerReferenceBL=OptionalProperties
msDFSR-MemberReferenceBL=OptionalProperties
msDS-Approx-Immed-Subordinates=OptionalProperties
msDS-AuthenticatedToAccountlist=OptionalProperties
msDS-ClaimSharesPossibleValuesWithBL=OptionalProperties
msDS-EnabledFeatureBL=OptionalProperties
msDS-HostServiceAccountBL=OptionalProperties
msDS-IsDomainFor=OptionalProperties
msDS-IsFullReplicaFor=OptionalProperties
msDS-IsPartialReplicaFor=OptionalProperties
msDS-IsPrimaryComputerFor=OptionalProperties
msDS-KrbTgtLinkBl=OptionalProperties
msDS-LastKnownRDN=OptionalProperties
msDS-LocalEffectiveDeletionTime=OptionalProperties
msDS-LocalEffectiveRecycleTime=OptionalProperties
msDs-masteredBy=OptionalProperties
msds-memberOfTransitive=OptionalProperties
msDS-MembersForAzRoleBL=OptionalProperties
msDS-MembersOfResourcePropertyListBL=OptionalProperties
msds-memberTransitive=OptionalProperties
msDS-NC-RO-Replica-Locations-BL=OptionalProperties
msDS-NCReplCursors=OptionalProperties
msDS-NCReplInboundNeighbors=OptionalProperties
msDS-NCReplOutboundNeighbors=OptionalProperties
msDS-NcType=OptionalProperties
msDS-NonMembersBL=OptionalProperties
msDS-ObjectReferenceBL=OptionalProperties
msDS-OIDToGroupLinkBl=OptionalProperties
msDS-OperationsForAzRoleBL=OptionalProperties
msDS-OperationsForAzTaskBL=OptionalProperties
msDS-parentdistname=OptionalProperties
msDS-PrincipalName=OptionalProperties
msDS-PSOApplied=OptionalProperties
msDS-ReplAttributeMetaData=OptionalProperties
msDS-ReplValueMetaData=OptionalProperties
msDS-ReplValueMetaDataExt=OptionalProperties
msDS-RevealedDSAs=OptionalProperties
msDS-RevealedListBL=OptionalProperties
msDS-Settings=OptionalProperties
msDS-TasksForAzRoleBL=OptionalProperties
msDS-TasksForAzTaskBL=OptionalProperties
msDS-TDOEgressBL=OptionalProperties
msDS-TDOIngressBL=OptionalProperties
msDS-ValueTypeReferenceBL=OptionalProperties
msSFU30PosixMemberOf=OptionalProperties
name=OptionalProperties
netbootSCPBL=OptionalProperties
nonSecurityMemberBL=OptionalProperties
objectGUID=OptionalProperties
objectVersion=OptionalProperties
operatingSystem=OptionalProperties
operatingSystemHotfix=OptionalProperties
operatingSystemServicePack=OptionalProperties
operatingSystemVersion=OptionalProperties
otherWellKnownObjects=OptionalProperties
ownerBL=OptionalProperties
partialAttributeDeletionList=OptionalProperties
partialAttributeSet=OptionalProperties
physicalLocationObject=OptionalProperties
portName=OptionalProperties
possibleInferiors=OptionalProperties
printAttributes=OptionalProperties
printBinNames=OptionalProperties
printCollate=OptionalProperties
printColor=OptionalProperties
printDuplexSupported=OptionalProperties
printEndTime=OptionalProperties
printFormName=OptionalProperties
printKeepPrintedJobs=OptionalProperties
printLanguage=OptionalProperties
printMACAddress=OptionalProperties
printMaxCopies=OptionalProperties
printMaxResolutionSupported=OptionalProperties
printMaxXExtent=OptionalProperties
printMaxYExtent=OptionalProperties
printMediaReady=OptionalProperties
printMediaSupported=OptionalProperties
printMemory=OptionalProperties
printMinXExtent=OptionalProperties
printMinYExtent=OptionalProperties
printNetworkAddress=OptionalProperties
printNotify=OptionalProperties
printNumberUp=OptionalProperties
printOrientationsSupported=OptionalProperties
printOwner=OptionalProperties
printPagesPerMinute=OptionalProperties
printRate=OptionalProperties
printRateUnit=OptionalProperties
printSeparatorFile=OptionalProperties
printShareName=OptionalProperties
printSpooling=OptionalProperties
printStaplingSupported=OptionalProperties
printStartTime=OptionalProperties
printStatus=OptionalProperties
priority=OptionalProperties
proxiedObjectName=OptionalProperties
proxyAddresses=OptionalProperties
queryPolicyBL=OptionalProperties
replPropertyMetaData=OptionalProperties
replUpToDateVector=OptionalProperties
repsFrom=OptionalProperties
repsTo=OptionalProperties
revision=OptionalProperties
sDRightsEffective=OptionalProperties
serverReferenceBL=OptionalProperties
showInAdvancedViewOnly=OptionalProperties
siteObjectBL=OptionalProperties
structuralObjectClass=OptionalProperties
subRefs=OptionalProperties
subSchemaSubEntry=OptionalProperties
systemFlags=OptionalProperties
url=OptionalProperties
uSNChanged=OptionalProperties
uSNCreated=OptionalProperties
uSNDSALastObjRemoved=OptionalProperties
USNIntersite=OptionalProperties
uSNLastObjRem=OptionalProperties
uSNSource=OptionalProperties
wbemPath=OptionalProperties
wellKnownObjects=OptionalProperties
whenChanged=OptionalProperties
whenCreated=OptionalProperties
wWWHomePage=OptionalProperties",2014-12-29T16:55:55.145-0800
msad,WIN-6LR3JNJ6LVD,ActiveDirectory,ActiveDirectory,"12/29/2014 16:55:55.145
dcName=LDAP://WIN-6LR3JNJ6LVD.spl.com/
admonEventType=schema
className=queryPolicy
classCN=Query-Policy
instanceType=MandatoryProperties
nTSecurityDescriptor=MandatoryProperties
objectCategory=MandatoryProperties
objectClass=MandatoryProperties
instanceType=OptionalProperties
nTSecurityDescriptor=OptionalProperties
objectCategory=OptionalProperties
objectClass=OptionalProperties
adminDescription=OptionalProperties
adminDisplayName=OptionalProperties
allowedAttributes=OptionalProperties
allowedAttributesEffective=OptionalProperties
allowedChildClasses=OptionalProperties
allowedChildClassesEffective=OptionalProperties
bridgeheadServerListBL=OptionalProperties
canonicalName=OptionalProperties
cn=OptionalProperties
createTimeStamp=OptionalProperties
description=OptionalProperties
directReports=OptionalProperties
displayName=OptionalProperties
displayNamePrintable=OptionalProperties
distinguishedName=OptionalProperties
dSASignature=OptionalProperties
dSCorePropagationData=OptionalProperties
extensionName=OptionalProperties
flags=OptionalProperties
fromEntry=OptionalProperties
frsComputerReferenceBL=OptionalProperties
fRSMemberReferenceBL=OptionalProperties
fSMORoleOwner=OptionalProperties
isCriticalSystemObject=OptionalProperties
isDeleted=OptionalProperties
isPrivilegeHolder=OptionalProperties
isRecycled=OptionalProperties
lastKnownParent=OptionalProperties
lDAPAdminLimits=OptionalProperties
lDAPIPDenyList=OptionalProperties
managedObjects=OptionalProperties
masteredBy=OptionalProperties
memberOf=OptionalProperties
modifyTimeStamp=OptionalProperties
mS-DS-ConsistencyChildCount=OptionalProperties
mS-DS-ConsistencyGuid=OptionalProperties
msCOM-PartitionSetLink=OptionalProperties
msCOM-UserLink=OptionalProperties
msDFSR-ComputerReferenceBL=OptionalProperties
msDFSR-MemberReferenceBL=OptionalProperties
msDS-Approx-Immed-Subordinates=OptionalProperties
msDS-AuthenticatedToAccountlist=OptionalProperties
msDS-ClaimSharesPossibleValuesWithBL=OptionalProperties
msDS-EnabledFeatureBL=OptionalProperties
msDS-HostServiceAccountBL=OptionalProperties
msDS-IsDomainFor=OptionalProperties
msDS-IsFullReplicaFor=OptionalProperties
msDS-IsPartialReplicaFor=OptionalProperties
msDS-IsPrimaryComputerFor=OptionalProperties
msDS-KrbTgtLinkBl=OptionalProperties
msDS-LastKnownRDN=OptionalProperties
msDS-LocalEffectiveDeletionTime=OptionalProperties
msDS-LocalEffectiveRecycleTime=OptionalProperties
msDs-masteredBy=OptionalProperties
msds-memberOfTransitive=OptionalProperties
msDS-MembersForAzRoleBL=OptionalProperties
msDS-MembersOfResourcePropertyListBL=OptionalProperties
msds-memberTransitive=OptionalProperties
msDS-NC-RO-Replica-Locations-BL=OptionalProperties
msDS-NCReplCursors=OptionalProperties
msDS-NCReplInboundNeighbors=OptionalProperties
msDS-NCReplOutboundNeighbors=OptionalProperties
msDS-NcType=OptionalProperties
msDS-NonMembersBL=OptionalProperties
msDS-ObjectReferenceBL=OptionalProperties
msDS-OIDToGroupLinkBl=OptionalProperties
msDS-OperationsForAzRoleBL=OptionalProperties
msDS-OperationsForAzTaskBL=OptionalProperties
msDS-parentdistname=OptionalProperties
msDS-PrincipalName=OptionalProperties
msDS-PSOApplied=OptionalProperties
msDS-ReplAttributeMetaData=OptionalProperties
msDS-ReplValueMetaData=OptionalProperties
msDS-ReplValueMetaDataExt=OptionalProperties
msDS-RevealedDSAs=OptionalProperties
msDS-RevealedListBL=OptionalProperties
msDS-TasksForAzRoleBL=OptionalProperties
msDS-TasksForAzTaskBL=OptionalProperties
msDS-TDOEgressBL=OptionalProperties
msDS-TDOIngressBL=OptionalProperties
msDS-ValueTypeReferenceBL=OptionalProperties
msSFU30PosixMemberOf=OptionalProperties
name=OptionalProperties
netbootSCPBL=OptionalProperties
nonSecurityMemberBL=OptionalProperties
objectGUID=OptionalProperties
objectVersion=OptionalProperties
otherWellKnownObjects=OptionalProperties
ownerBL=OptionalProperties
partialAttributeDeletionList=OptionalProperties
partialAttributeSet=OptionalProperties
possibleInferiors=OptionalProperties
proxiedObjectName=OptionalProperties
proxyAddresses=OptionalProperties
queryPolicyBL=OptionalProperties
replPropertyMetaData=OptionalProperties
replUpToDateVector=OptionalProperties
repsFrom=OptionalProperties
repsTo=OptionalProperties
revision=OptionalProperties
sDRightsEffective=OptionalProperties
serverReferenceBL=OptionalProperties
showInAdvancedViewOnly=OptionalProperties
siteObjectBL=OptionalProperties
structuralObjectClass=OptionalProperties
subRefs=OptionalProperties
subSchemaSubEntry=OptionalProperties
systemFlags=OptionalProperties
url=OptionalProperties
uSNChanged=OptionalProperties
uSNCreated=OptionalProperties
uSNDSALastObjRemoved=OptionalProperties
USNIntersite=OptionalProperties
uSNLastObjRem=OptionalProperties
uSNSource=OptionalProperties
wbemPath=OptionalProperties
wellKnownObjects=OptionalProperties
whenChanged=OptionalProperties
whenCreated=OptionalProperties
wWWHomePage=OptionalProperties",2014-12-29T16:55:55.145-0800
msad,WIN-6LR3JNJ6LVD,ActiveDirectory,ActiveDirectory,"12/29/2014 16:55:55.160
dcName=LDAP://WIN-6LR3JNJ6LVD.spl.com/
admonEventType=schema
className=remoteMailRecipient
classCN=Remote-Mail-Recipient
cn=MandatoryProperties
instanceType=MandatoryProperties
nTSecurityDescriptor=MandatoryProperties
objectCategory=MandatoryProperties
objectClass=MandatoryProperties
cn=OptionalProperties
instanceType=OptionalProperties
nTSecurityDescriptor=OptionalProperties
objectCategory=OptionalProperties
objectClass=OptionalProperties
adminDescription=OptionalProperties
adminDisplayName=OptionalProperties
allowedAttributes=OptionalProperties
allowedAttributesEffective=OptionalProperties
allowedChildClasses=OptionalProperties
allowedChildClassesEffective=OptionalProperties
bridgeheadServerListBL=OptionalProperties
canonicalName=OptionalProperties
createTimeStamp=OptionalProperties
description=OptionalProperties
directReports=OptionalProperties
displayName=OptionalProperties
displayNamePrintable=OptionalProperties
distinguishedName=OptionalProperties
dSASignature=OptionalProperties
dSCorePropagationData=OptionalProperties
extensionName=OptionalProperties
flags=OptionalProperties
fromEntry=OptionalProperties
frsComputerReferenceBL=OptionalProperties
fRSMemberReferenceBL=OptionalProperties
fSMORoleOwner=OptionalProperties
garbageCollPeriod=OptionalProperties
info=OptionalProperties
isCriticalSystemObject=OptionalProperties
isDeleted=OptionalProperties
isPrivilegeHolder=OptionalProperties
isRecycled=OptionalProperties
labeledURI=OptionalProperties
lastKnownParent=OptionalProperties
legacyExchangeDN=OptionalProperties
managedBy=OptionalProperties
managedObjects=OptionalProperties
masteredBy=OptionalProperties
memberOf=OptionalProperties
modifyTimeStamp=OptionalProperties
mS-DS-ConsistencyChildCount=OptionalProperties
mS-DS-ConsistencyGuid=OptionalProperties
msCOM-PartitionSetLink=OptionalProperties
msCOM-UserLink=OptionalProperties
msDFSR-ComputerReferenceBL=OptionalProperties
msDFSR-MemberReferenceBL=OptionalProperties
msDS-Approx-Immed-Subordinates=OptionalProperties
msDS-AuthenticatedToAccountlist=OptionalProperties
msDS-ClaimSharesPossibleValuesWithBL=OptionalProperties
msDS-EnabledFeatureBL=OptionalProperties
msDS-GeoCoordinatesAltitude=OptionalProperties
msDS-GeoCoordinatesLatitude=OptionalProperties
msDS-GeoCoordinatesLongitude=OptionalProperties
msDS-HostServiceAccountBL=OptionalProperties
msDS-IsDomainFor=OptionalProperties
msDS-IsFullReplicaFor=OptionalProperties
msDS-IsPartialReplicaFor=OptionalProperties
msDS-IsPrimaryComputerFor=OptionalProperties
msDS-KrbTgtLinkBl=OptionalProperties
msDS-LastKnownRDN=OptionalProperties
msDS-LocalEffectiveDeletionTime=OptionalProperties
msDS-LocalEffectiveRecycleTime=OptionalProperties
msDs-masteredBy=OptionalProperties
msds-memberOfTransitive=OptionalProperties
msDS-MembersForAzRoleBL=OptionalProperties
msDS-MembersOfResourcePropertyListBL=OptionalProperties
msds-memberTransitive=OptionalProperties
msDS-NC-RO-Replica-Locations-BL=OptionalProperties
msDS-NCReplCursors=OptionalProperties
msDS-NCReplInboundNeighbors=OptionalProperties
msDS-NCReplOutboundNeighbors=OptionalProperties
msDS-NcType=OptionalProperties
msDS-NonMembersBL=OptionalProperties
msDS-ObjectReferenceBL=OptionalProperties
msDS-OIDToGroupLinkBl=OptionalProperties
msDS-OperationsForAzRoleBL=OptionalProperties
msDS-OperationsForAzTaskBL=OptionalProperties
msDS-parentdistname=OptionalProperties
msDS-PhoneticDisplayName=OptionalProperties
msDS-PrincipalName=OptionalProperties
msDS-PSOApplied=OptionalProperties
msDS-ReplAttributeMetaData=OptionalProperties
msDS-ReplValueMetaData=OptionalProperties
msDS-ReplValueMetaDataExt=OptionalProperties
msDS-RevealedDSAs=OptionalProperties
msDS-RevealedListBL=OptionalProperties
msDS-TasksForAzRoleBL=OptionalProperties
msDS-TasksForAzTaskBL=OptionalProperties
msDS-TDOEgressBL=OptionalProperties
msDS-TDOIngressBL=OptionalProperties
msDS-ValueTypeReferenceBL=OptionalProperties
msExchAssistantName=OptionalProperties
msExchLabeledURI=OptionalProperties
msSFU30PosixMemberOf=OptionalProperties
name=OptionalProperties
netbootSCPBL=OptionalProperties
nonSecurityMemberBL=OptionalProperties
objectGUID=OptionalProperties
objectVersion=OptionalProperties
otherWellKnownObjects=OptionalProperties
ownerBL=OptionalProperties
partialAttributeDeletionList=OptionalProperties
partialAttributeSet=OptionalProperties
possibleInferiors=OptionalProperties
proxiedObjectName=OptionalProperties
proxyAddresses=OptionalProperties
queryPolicyBL=OptionalProperties
remoteSource=OptionalProperties
remoteSourceType=OptionalProperties
replPropertyMetaData=OptionalProperties
replUpToDateVector=OptionalProperties
repsFrom=OptionalProperties
repsTo=OptionalProperties
revision=OptionalProperties
sDRightsEffective=OptionalProperties
secretary=OptionalProperties
serverReferenceBL=OptionalProperties
showInAddressBook=OptionalProperties
showInAdvancedViewOnly=OptionalProperties
siteObjectBL=OptionalProperties
structuralObjectClass=OptionalProperties
subRefs=OptionalProperties
subSchemaSubEntry=OptionalProperties
systemFlags=OptionalProperties
telephoneNumber=OptionalProperties
textEncodedORAddress=OptionalProperties
url=OptionalProperties
userCert=OptionalProperties
userCertificate=OptionalProperties
userSMIMECertificate=OptionalProperties
uSNChanged=OptionalProperties
uSNCreated=OptionalProperties
uSNDSALastObjRemoved=OptionalProperties
USNIntersite=OptionalProperties
uSNLastObjRem=OptionalProperties
uSNSource=OptionalProperties
wbemPath=OptionalProperties
wellKnownObjects=OptionalProperties
whenChanged=OptionalProperties
whenCreated=OptionalProperties
wWWHomePage=OptionalProperties",2014-12-29T16:55:55.160-0800
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
