index,host,source,sourcetype,"_raw","_time"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:DNS","Perfmon:DNS","01/05/2015 10:04:11.973 -0800
collection=DNS
object=DNS
counter=""TCP Message Memory""
instance=0
Value=39176","2015-01-05T10:04:11.973-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:DNS","Perfmon:DNS","01/06/2015 08:43:05.895 -0800
collection=DNS
object=DNS
counter=""Recursive TimeOut/sec""
instance=0
Value=0.29964112581643221","2015-01-06T08:43:05.895-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:DNS","Perfmon:DNS","01/07/2015 16:27:55.902 -0800
collection=DNS
object=DNS
counter=""TCP Query Received/sec""
instance=0
Value=0.099991627701012595","2015-01-07T16:27:55.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:DNS","Perfmon:DNS","01/07/2015 16:27:55.902 -0800
collection=DNS
object=DNS
counter=""TCP Response Sent/sec""
instance=0
Value=0.099991627701012595","2015-01-07T16:27:55.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:DNS","Perfmon:DNS","01/07/2015 16:27:55.902 -0800
collection=DNS
object=DNS
counter=""Secure Update Received/sec""
instance=0
Value=0.099991627701012595","2015-01-07T16:27:55.902-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:DNS","Perfmon:DNS","01/08/2015 13:58:05.911 -0800
collection=DNS
object=DNS
counter=""Dynamic Update Received/sec""
instance=0
Value=2.600470347071675","2015-01-08T13:58:05.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:DNS","Perfmon:DNS","01/08/2015 13:58:05.911 -0800
collection=DNS
object=DNS
counter=""Dynamic Update NoOperation/sec""
instance=0
Value=2.4004341665276998","2015-01-08T13:58:05.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:DNS","Perfmon:DNS","01/08/2015 13:58:05.911 -0800
collection=DNS
object=DNS
counter=""Dynamic Update Written to Database/sec""
instance=0
Value=0.20003618054397498","2015-01-08T13:58:05.911-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:DNS","Perfmon:DNS","01/08/2015 14:09:45.907 -0800
collection=DNS
object=DNS
counter=""Total Query Received/sec""
instance=0
Value=0.19992759821958075","2015-01-08T14:09:45.907-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:DNS","Perfmon:DNS","01/08/2015 14:09:45.907 -0800
collection=DNS
object=DNS
counter=""UDP Query Received/sec""
instance=0
Value=0.19992759821958075","2015-01-08T14:09:45.907-0800"
