index,host,source,sourcetype,"_raw","_time"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","counter=""Available MBytes""
Value=0

01/07/2015 07:21:33.498
collection=""Available Memory""
object=Memory
counter=""Committed Bytes""
Value=1102970880
","2015-01-07T07:21:33.498-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","counter=""Available MBytes""
Value=0

01/07/2015 07:21:33.498
collection=""Available Memory""
object=Memory
counter=""Committed Bytes""
Value=1102970880
","2015-01-07T07:21:33.498-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107072144.155273
TotalPhysicalMemory=8589402112
wmi_type=ComputerSystem
","2015-01-07T07:21:44.155-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","01/07/2015 07:23:19.498
collection=""Available Memory""
object=Memory
","2015-01-07T07:23:19.498-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","counter=""Available MBytes""
Value=432

01/07/2015 07:23:52.498
collection=""Available Memory""
object=Memory
counter=""Committed Bytes""
Value=649986048

01/07/2015 07:23:52.498
collection=""Available Memory""
object=Memory
","2015-01-07T07:23:52.498-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","counter=""Available MBytes""
Value=0

01/07/2015 07:24:43.498
collection=""Available Memory""
object=Memory
counter=""Committed Bytes""
Value=1102970880
","2015-01-07T07:24:43.498-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","counter=""Available MBytes""
Value=432

01/07/2015 07:24:50.498
collection=""Available Memory""
object=Memory
counter=""Committed Bytes""
Value=649986048

01/07/2015 07:24:50.498
collection=""Available Memory""
object=Memory
","2015-01-07T07:24:50.498-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","01/07/2015 07:24:59.498
collection=""Available Memory""
object=Memory
","2015-01-07T07:24:59.498-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","counter=""Available MBytes""
Value=432

01/07/2015 07:25:03.498
collection=""Available Memory""
object=Memory
counter=""Committed Bytes""
Value=649986048

01/07/2015 07:25:03.498
collection=""Available Memory""
object=Memory
","2015-01-07T07:25:03.498-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","01/07/2015 07:25:43.498
collection=""Available Memory""
object=Memory
","2015-01-07T07:25:43.498-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107072600.433557
AvailableMBytes=0
CommittedBytes=1610014720
PagesPersec=0
PercentCommittedBytesInUse=27
wmi_type=Memory
","2015-01-07T07:26:00.433-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107072821.433557
AvailableMBytes=0
CommittedBytes=1610014720
PagesPersec=0
PercentCommittedBytesInUse=27
wmi_type=Memory
","2015-01-07T07:28:21.433-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107072834.433557
AvailableMBytes=620
CommittedBytes=959897600
PagesPersec=0
PercentCommittedBytesInUse=27
wmi_type=Memory

","2015-01-07T07:28:34.433-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107073052.155273
TotalPhysicalMemory=8589402112
wmi_type=ComputerSystem
","2015-01-07T07:30:52.155-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107073138.433557
AvailableMBytes=620
CommittedBytes=959897600
PagesPersec=0
PercentCommittedBytesInUse=27
wmi_type=Memory

","2015-01-07T07:31:38.433-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107073308.433557
AvailableMBytes=0
CommittedBytes=1610014720
PagesPersec=0
PercentCommittedBytesInUse=27
wmi_type=Memory
","2015-01-07T07:33:08.433-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107073346.155273
TotalPhysicalMemory=8589402112
wmi_type=ComputerSystem
","2015-01-07T07:33:46.155-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107073828.433557
AvailableMBytes=0
CommittedBytes=1610014720
PagesPersec=0
PercentCommittedBytesInUse=27
wmi_type=Memory
","2015-01-07T07:38:28.433-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107073925.155273
TotalPhysicalMemory=8589402112
wmi_type=ComputerSystem
","2015-01-07T07:39:25.155-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107074014.433557
AvailableMBytes=620
CommittedBytes=959897600
PagesPersec=0
PercentCommittedBytesInUse=27
wmi_type=Memory

","2015-01-07T07:40:14.433-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107074134.433557
AvailableMBytes=0
CommittedBytes=1610014720
PagesPersec=0
PercentCommittedBytesInUse=27
wmi_type=Memory
","2015-01-07T07:41:34.433-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107074333.155273
TotalPhysicalMemory=8589402112
wmi_type=ComputerSystem
","2015-01-07T07:43:33.155-0800"
perfmon,"WIN-6LR3JNJ6LVD","Perfmon:Memory","Perfmon:Memory","20150107074623.433557
AvailableMBytes=620
CommittedBytes=959897600
PagesPersec=0
PercentCommittedBytesInUse=27
wmi_type=Memory

","2015-01-07T07:46:23.433-0800"
